ID;nom;adresse;commune;etat;type;geo;nbVelosDispo;nbPlacesDispo;etatConnexion;datemiseajour;localisation
54;METRO WAZEMMES;93 RUE RACINE;LILLE;EN SERVICE;AVEC TPE;50.62338,3.051565;0;20;CONNECTED;2021-02-17T17:06:54+01:00;50.62338,3.051565
258;CARLIERS;135, CHAUSSÉE GALILÉE;TOURCOING;EN SERVICE;AVEC TPE;50.710735,3.159881;6;6;CONNECTED;2021-02-17T17:06:55+01:00;50.710735,3.159881
97;LA MADELEINE GARE;250 RUE GENERAL DE GAULLE;LA MADELEINE;EN SERVICE;SANS TPE;50.65937,3.074057;7;10;CONNECTED;2021-02-17T17:06:54+01:00;50.65937,3.074057
136;RUE CHAMBORD;RUE CHAMBORD;VILLENEUVE D'ASCQ;HORS SERVICE;AVEC TPE;50.62972,3.133873;0;0;DISCONNECTED;2019-10-18T13:39:06+02:00;50.62972,3.133873
261;PHALEMPINS;PHALEMPINS;TOURCOING;EN SERVICE;AVEC TPE;50.732277,3.157656;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.732277,3.157656
101;MONS SARTS;AVENUE DES ACACIAS;MONS EN BAROEUL;EN SERVICE;AVEC TPE;50.6423,3.099291;7;17;CONNECTED;2021-02-17T17:06:54+01:00;50.6423,3.099291
45;BRULE MAISON;51 RUE DES POSTES;LILLE;EN SERVICE;AVEC TPE;50.62648,3.056666;14;4;CONNECTED;2021-02-17T17:06:54+01:00;50.62648,3.056666
251;COLBERT;RUE DE GAND (FACE AU LYCÉE);TOURCOING;EN SERVICE;SANS TPE;50.72551,3.156554;9;9;CONNECTED;2021-02-17T17:06:55+01:00;50.72551,3.156554
103;LACORDAIRE;44 RUE LACORDAIRE;MONS EN BAROEUL;EN SERVICE;SANS TPE;50.639828,3.106677;7;9;CONNECTED;2021-02-17T17:06:54+01:00;50.639828,3.106677
56;BD VICTOR HUGO;214 BOULEVARD VICTOR HUGO;LILLE;EN SERVICE;AVEC TPE;50.620304,3.055471;15;3;CONNECTED;2021-02-17T17:06:54+01:00;50.620304,3.055471
253;AVENUE MILLET;SECTEUR RUE CONDORCET;TOURCOING;EN SERVICE;SANS TPE;50.725006,3.150677;6;6;CONNECTED;2021-02-17T17:06:55+01:00;50.725006,3.150677
107;LAVOISIER;5 RUE LAURENT DE LAVOISIER;MONS EN BAROEUL;EN SERVICE;SANS TPE;50.636105,3.106438;4;8;CONNECTED;2021-02-17T17:06:54+01:00;50.636105,3.106438
139;RUE DE LILLE;RUE DE LILLE;VILLENEUVE D'ASCQ;EN SERVICE;SANS TPE;50.62577,3.144714;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.62577,3.144714
154;CHAUFFERIE;FACE AU 125 RUE ROGER SALENGRO;LA MADELEINE;EN SERVICE;AVEC TPE;50.65532,3.060615;12;4;CONNECTED;2021-02-17T17:06:55+01:00;50.65532,3.060615
117;HIPPODROME;9, AVENUE HENRI GRUSON;LAMBERSART;EN SERVICE;AVEC TPE;50.641617,3.031375;11;10;CONNECTED;2021-02-17T17:06:54+01:00;50.641617,3.031375
63;HOTEL DE REGION;BOULEVARD DU PRESIDENT HOOVER;LILLE;EN SERVICE;AVEC TPE;50.629738,3.078224;4;28;CONNECTED;2021-02-17T17:06:54+01:00;50.629738,3.078224
177;RUE DE LONDRES;2 Rue du Maréchal Foch;LOOS;EN SERVICE;SANS TPE;50.616763,3.023032;6;8;CONNECTED;2021-02-17T17:06:55+01:00;50.616763,3.023032
